username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,bio,n_publicacoes,n_seguidores,n_seguindo,link_externo,verificado,status_conta
kakau_tkd,kakau_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,11,kakau_tkd 78 78 1.105 1.105 573 573 Carlos Ferreira • 🐎⚔️ 📍MARGINAL ALADO ✊🏿 📍FAIXA PRETA | 1° DAN ➰ 📍PB 🌵❤️,78,78,1105,https://www.threads.com/@kakau_tkd?xmt=AQF04sORsGD-e6BoX8qifTq7hJNUfycN0615f2v3T4IfMwU,False,Pública
mestracristiane_souzatkd,mestracristiane_souzatkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,7,mestracristiane_souzatkd 236 236 1.984 1.984 1.453 1.453 Mestra Cristiane Souza Criador(a) de conteúdo digital Ms: 4°Dan TKD Transformando vida atravez do TKD Arbitra Nacional Poomsae CBTKD Atleta de Poomsae... mais Ms: 4°Dan TKD Transformando vida atravez do TKD Arbitra Nacional Poomsae CBTKD Atleta de Poomsae ... mais mais tkd na escola Campeonato-PE campeonato projeto social acad:qualitylife seminário tkd na escola Campeonato-PE campeonato projeto social acad:qualitylife seminário,236,236,1984,https://www.threads.com/@mestracristiane_souzatkd?xmt=AQF05sWxAzzY3wu1UjCNkgPQnahEt9SOY-a0wMRDoyOlfow,False,Pública
pvdd._barella,pvdd._barella,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,6,pvdd._barella 2 2 108 108 124 124 Alana,2,2,108,,False,Pública
marisedamazio2025,marisedamazio2025,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,5,marisedamazio2025 1 1 52 52 98 98 Marise Damazio Teresópolis/RJ 🌳 Amo meus filhos ♥️ Salmos 91📖 Marise Damazio Teresópolis/RJ 🌳 Amo meus filhos ♥️ Salmos 91📖,1,1,52,,False,Pública
yrguell,yrguell,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,19,yrguell 3 3 382 382 617 617 miguelltkd_,3,3,382,,False,Pública
enzo_schmitt,enzo_schmitt,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,enzo_schmitt 591 591 1.041 1.041 1.158 1.158 𝑬𝒏𝒛𝒐 𝑺𝒄𝒉𝒎𝒊𝒕𝒕 sub 12⚽️ 🥋🤼 𝑬𝒏𝒛𝒐 𝑺𝒄𝒉𝒎𝒊𝒕𝒕 sub 12⚽️ 🥋🤼,591,591,1041,,False,Pública
grao_mestre.alex.machado,grao_mestre.alex.machado,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,6,grao_mestre.alex.machado 33 33 3.959 3.959 102 102 Alex Machado 👨🏻‍💼Gestor Comercial 🥋Grão Mestre: 7ºDAN- TKD 🥋Mestre: 5ºDAN- HKD WT/CBTKD/ FGTKD🇨🇺🇵🇾🇺🇾🇧🇷 🏍️🎣🦾 ❤️Catiu... mais 👨🏻‍💼Gestor Comercial 🥋Grão Mestre: 7ºDAN- TKD 🥋Mestre: 5ºDAN- HKD WT/CBTKD/ FGTKD🇨🇺🇵🇾🇺🇾🇧🇷 🏍️🎣🦾 ❤️Catiu ... mais mais,33,33,3959,https://www.facebook.com/profile.php?id=100000306047915&ref=_ig_profile_ac,False,Pública
nagai.ana,nagai.ana,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,5,nagai.ana 28 28 531 531 327 327 Akemi ♡ In this world... 🥋🇧🇷 Akemi ♡ In this world... 🥋🇧🇷 Eu & ele ❤️ 🥋 por aí Etec-3 Família UK 🇬🇧 - 2 Etec - 2 UK 🇬🇧 RJ Eu & ele ❤️ 🥋 por aí Etec-3 Família UK 🇬🇧 - 2 Etec - 2 UK 🇬🇧 RJ,28,28,531,,False,Pública
profjohnatansoares,profjohnatansoares,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,7,profjohnatansoares 56 56 282 282 483 483 Johnatan de Oliveira Soares Professor; Químico licenciado; Mestre em química; Doutorando em química; ... mais Johnatan de Oliveira Soares Professor; Químico licenciado; Mestre em química; Doutorando em química; ... mais Professor; Químico licenciado; Mestre em química; Doutorando em química; ... mais mais Experimentos óxidos Animais por aí. Magnéticos 🧲 Aulas cursos Experimentos óxidos Animais por aí. Magnéticos 🧲 Aulas cursos,56,56,282,,False,Pública
zaninello_tkd,zaninello_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,10,zaninello_tkd 101 101 1.279 1.279 1.191 1.191 Sabryna ... mais mais 👆🏻👀 📍CAC25 📍IGU25 ✝️ 🤍 📍SC25 📍UK23/24 📍RJ25 📍RJ24 📍BA24 👆🏻👀 📍CAC25 📍IGU25 ✝️ 🤍 📍SC25 📍UK23/24 📍RJ25 📍RJ24 📍BA24,101,101,1279,https://www.threads.com/@zaninello_tkd?xmt=AQF0FOffCMdlbnRvNMS_4hYfESl43aK2ctYNTBUm5pXBg5c,False,Pública
_victor.zsx,_victor.zsx,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,5,_victor.zsx 3 3 306 306 145 145 Kaua Victor Atleta 🌥️ 🌪️ K 🌥️ 🌪️ K,3,3,306,,False,Pública
nelsontoshiyukimiyamoto,nelsontoshiyukimiyamoto,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,9,nelsontoshiyukimiyamoto 15 15 815 815 794 794 Nelson Miyamoto Destaques,15,15,815,https://www.threads.com/@nelsontoshiyukimiyamoto?xmt=AQF03-VDZhmG53Lsmg_wvgXr2qs4NmIm8IvmwcfRx1XlAFg,False,Pública
_linck02,_linck02,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,21,_linck02 3 3 305 305 353 353 ea line dnv 🌪 🇧🇷+🇪🇸 RS📍-cachoririnha 🥋 ea line dnv 🌪 🇧🇷+🇪🇸 RS📍-cachoririnha 🥋,3,3,305,,False,Pública
isaias.tkd_,isaias.tkd_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,5,isaias.tkd_ 11 11 1.430 1.430 1.561 1.561 liminha___ Atleta ... mais mais Seguido(a) por esc.raiodesol esc.raiodesol 1.2.3 . 1.2.3 .,11,11,1430,https://www.threads.com/@isaias.tkd_?xmt=AQF0758Rv1meHeRTb7Gk8oCAo34vb6BJCKnglVs-Nu5deos,False,Pública
carterlam1515,carterlam1515,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,carterlam1515 14 14 204 204 154 154 Carter Training Tournaments 2025 US Open Basketball Tkd Sparring Training Tournaments 2025 US Open Basketball Tkd Sparring,14,14,204,,False,Pública
clarawlz__,clarawlz__,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,clarawlz__ 0 0 241 241 1.040 1.040 maria clara ☀︎ . . . .,0,0,241,https://www.threads.com/@clarawlz__?xmt=AQF0ltCPcQuEFeRov3aTG8qeyb2FP3iAtsgZfKS3tV0qj68,False,Pública
renata.tamie,renata.tamie,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,"renata.tamie 10 10 1.541 1.541 1.545 1.545 Renata 🖤☀️ Eis que faço novas todas as coisas. E disse-me: Escreve, porque estas palavras são verdadeiras e fieis. Rodrigo 🖤",10,10,1541,https://www.threads.com/@renata.tamie?xmt=AQF0zvdcZKw2RvpJL_zko5ZipXgFGxk-c7Ko5AzEuFKdHjg,False,Pública
kmeurentkd,kmeurentkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,17,kmeurentkd 31 31 1.500 1.500 567 567 Kátila Meuren Atleta 🥋 🇧🇷 🥋 🇧🇷,31,31,1500,,False,Pública
dimitrius_92,dimitrius_92,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,18,dimitrius_92 105 105 648 648 1.295 1.295 Dimitrius Zoehler Ferreira Atleta,105,105,648,,False,Pública
giovannasantosra2018,giovannasantosra2018,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,5,giovannasantosra2018 21 21 443 443 458 458 giovanna,21,21,443,,False,Pública
qg.aanac_,qg.aanac_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,5,qg.aanac_ 0 0 37 37 38 38 𝒄𝒍𝒂𝒓𝒊𝒏𝒉𝒂🤍,0,0,37,,False,Pública
eduarda.tkd_,eduarda.tkd_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,eduarda.tkd_ 4 4 117 117 74 74 Maria Eduarda Atleta,4,4,117,,False,Pública
_kyaramoreira,_kyaramoreira,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,6,_kyaramoreira 1 1 208 208 207 207 Atleta 🥋🏸 Atleta 🥋🏸,1,1,208,,False,Pública
sampaio_team,sampaio_team,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,8,sampaio_team 86 86 692 692 370 370 Sampaio Team Martial Arts Escola de artes marciais ... mais mais Taekwondo Kickboxing Taekwondo Kickboxing,86,86,692,,False,Pública
luzareco_13,luzareco_13,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,5,luzareco_13 15 15 735 735 485 485 ✨ Deportista🥋,15,15,735,https://www.threads.com/@luzareco_13?xmt=AQF0tf8zFJJln6_Qmgqr4tvgTg3pw_VApJGC_DsNw-OWIrM,False,Pública
tjmoveis_,tjmoveis_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,"tjmoveis_ 771 771 6.235 6.235 751 751 Móveis com madeira de Demolição Produto/serviço A empresa TJ MÓVEIS atua desde 2011 na fabricação de móveis em madeira de demolição, realizando seus projetos... mais SMPW QD 14 CONJ 02 BOX 02 PARK WAY- BRASILIA-DF, Brasília, Brazil 71741400 Móveis com madeira de Demolição Produto/serviço A empresa TJ MÓVEIS atua desde 2011 na fabricação de móveis em madeira de demolição, realizando seus projetos... mais A empresa TJ MÓVEIS atua desde 2011 na fabricação de móveis em madeira de demolição, realizando seus projetos ... mais mais Banco Buffet Cristaleira Moldura Banco Buffet Cristaleira Moldura",771,771,6235,,False,Pública
shimurazzz,shimurazzz,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,20,shimurazzz 3 3 537 537 600 600 shimura𓋹,3,3,537,,False,Pública
tkd_marcus,tkd_marcus,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,tkd_marcus 13 13 516 516 348 348 Marcus-_-🌟 Coaching 2025 🌎 2025 Pan Am 2025 US Open 2025 Can open 2025 Nats Training Highlights Team Canada 🇨🇦 2024 Nationals Ontario Cup 🏀 House League 🇨🇦 Open 2024 Carter Coaching 2025 🌎 2025 Pan Am 2025 US Open 2025 Can open 2025 Nats Training Highlights Team Canada 🇨🇦 2024 Nationals Ontario Cup 🏀 House League 🇨🇦 Open 2024 Carter,13,13,516,https://www.threads.com/@tkd_marcus?xmt=AQF01lrYE1FFS1loYEUUEeO1Wu-m88gEbSk4koV103oFmsc,False,Pública
ceciliamaria_tkd,ceciliamaria_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,6,ceciliamaria_tkd 6 6 1.766 1.766 2.299 2.299 Maria Cecilia tkd 🚀 me tkd 🚀 me,6,6,1766,https://www.threads.com/@ceciliamaria_tkd?xmt=AQF0XbRr5PLL5ZmXA3KpFr_WVj4DiOWAokOqPJHpW3nm-pM,False,Pública
_.julia.oliveira.__,_.julia.oliveira.__,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,7,_.julia.oliveira.__ 8 8 422 422 389 389 julia vitória . . . .,8,8,422,,False,Pública
_amanda.tkd,_amanda.tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,7,_amanda.tkd 8 8 318 318 226 226 Amanda Martins Atleta 🌪️🥋taekwondo Êxodo 33:14 🥇.🥈.🥉,8,8,318,https://www.threads.com/@_amanda.tkd?xmt=AQF0h_XYs3jkLqKDp7vy4F0qgx0LzdqFoRdIRMsaOcW14DI,False,Pública
normabger,normabger,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,normabger 1 1 155 155 211 211 Norma Burger,1,1,155,,False,Pública
_masoares_tkd,_masoares_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,5,_masoares_tkd 5 5 290 290 306 306 Manuela Soares •Jeremias 29:11 •048 |sc •🥋 🗺🧭 🥋 Me 🌊 brap🏁 🗺🧭 🥋 Me 🌊 brap🏁,5,5,290,https://www.threads.com/@_masoares_tkd?xmt=AQF0XBfQGqzFFZx8Oo4t0xGg4EmTRPQW_Dqle7NW1YGL9os,False,Pública
taizmontalvao2,taizmontalvao2,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,taizmontalvao2 62 62 1.463 1.463 1.063 1.063 Taiz Montalvão Blogueiro(a),62,62,1463,,False,Pública
spartajotap,spartajotap,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,spartajotap 521 521 2.478 2.478 967 967 João Paulo Caus Esportes Cristão | Marido | Atleta | Líder -Permanece no propósito independente das circunstâncias... MENTALIDADE SPARTA 👊🏻⚡... mais Cristão | Marido | Atleta | Líder -Permanece no propósito independente das circunstâncias... MENTALIDADE SPARTA 👊🏻⚡ ... mais mais EU E ELA ❤️ WARRIOR ⚓ 📚 GYM CROSSFIT II BJJ TAEKWONDO PERSONAL FIGHT🥊🥋 CROSSFIT EU E ELA ❤️ WARRIOR ⚓ 📚 GYM CROSSFIT II BJJ TAEKWONDO PERSONAL FIGHT🥊🥋 CROSSFIT,521,521,2478,https://www.threads.com/@spartajotap?xmt=AQF08XupdVHRuotnr2hB0G4o6D0FcBgKShJJu6SWsz5EXOU,False,Pública
teamtaekwondoescola,teamtaekwondoescola,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,tkdescola.com.br teamtaekwondoescola 738 738 4.878 4.878 2.927 2.927 Team Taekwondo Escola 🥋Projeto Social Team Taekwondo Escola 🤝Filiação: CBTKD • WT • AAT 👤Técnico: Fábio Lourenço ⏰Funcionamento: Seg á Sex... mais 🥋Projeto Social Team Taekwondo Escola 🤝Filiação: CBTKD • WT • AAT 👤Técnico: Fábio Lourenço ⏰Funcionamento: Seg á Sex ... mais mais Treinamento 🅁🄴🅂🅄🄻🅃🄰🄳🄾🅂 🆃🆁🅴🅸🅽🅾🆂 🄲🄾🄼🄿🄴🅃🄸🄲🄾🄴🅂 🅳🅴🆂🆃🅸🅽🅾🆂 Treinamento 🅁🄴🅂🅄🄻🅃🄰🄳🄾🅂 🆃🆁🅴🅸🅽🅾🆂 🄲🄾🄼🄿🄴🅃🄸🄲🄾🄴🅂 🅳🅴🆂🆃🅸🅽🅾🆂,738,738,4878,,False,Pública
ajtkd2004,ajtkd2004,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,14,"ajtkd2004 17 17 151 151 119 119 Associação Jaraguaense de Taekwondo Educação Taekwondo que educa, inclui e transforma vidas! Associação Jaraguaense de Taekwondo Educação Taekwondo que educa, inclui e transforma vidas!",17,17,151,,False,Pública
valdirenisilva_souza,valdirenisilva_souza,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,8,valdirenisilva_souza 46 46 2.228 2.228 3.037 3.037 Valdireni Silva de Souza,46,46,2228,,False,Pública
izah_emanuu_,izah_emanuu_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,4,izah_emanuu_ 33 33 1.165 1.165 993 993 luiza 🤍 Atleta • TKD • história de gigante n cabe no livro • êxodo 33:14 • she is ate... mais • TKD • história de gigante n cabe no livro • êxodo 33:14 • she is ate ... mais mais 2k25 me... TKD 25* luizas IGJ❤️‍🔥 2k24 🤍 TKD 24* humilhações academia' happy birthday15 L' moments' taekwondo' 2k25 me... TKD 25* luizas IGJ❤️‍🔥 2k24 🤍 TKD 24* humilhações academia' happy birthday15 L' moments' taekwondo',33,33,1165,https://www.threads.com/@izah_emanuu_?xmt=AQF0UHdbM6I8R6OKSJ1mcInCGEjAldt65SPIrz_n-fphWBo,False,Pública
fabriciooli_tkd,fabriciooli_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,3,"fabriciooli_tkd 3 3 153 153 422 422 Fabrício Oliveira Fabrício de Oliveira Silva Aluno de Taekwondo🇰🇷🇧🇷 faixa Verde 6° GUB 💚 ""a meta é ser melhor que ontem, não melhor que ... mais Fabrício de Oliveira Silva Aluno de Taekwondo🇰🇷🇧🇷 faixa Verde 6° GUB 💚 ""a meta é ser melhor que ontem, não melhor que ... mais mais",3,3,153,https://www.threads.com/@fabriciooli_tkd?xmt=AQF0ENKCMtglPgt2feMu5_CmcyRUdoxA3US1g6xMfHjrCC8,False,Pública
_dry_.santos_,_dry_.santos_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,7,_dry_.santos_ 97 97 606 606 613 613 Adrielly Tomita Bruneli Santos 𝕱𝖆𝖒𝖎𝖑𝖞🦋 🥋〽️❤️ 𝕮𝖔𝖒𝖕𝖊𝖙𝖎𝖙𝖎𝖔𝖓𝖘 25💖 𝖒𝖊🦋🌌🌻 birthdays 🥹 𝖙𝖗𝖆𝖛𝖊𝖑🦋 𝕸𝖞 𝖜𝖔𝖗𝖐🥋 𝕱𝖆𝖒𝖎𝖑𝖞🦋 🥋〽️❤️ 𝕮𝖔𝖒𝖕𝖊𝖙𝖎𝖙𝖎𝖔𝖓𝖘 25💖 𝖒𝖊🦋🌌🌻 birthdays 🥹 𝖙𝖗𝖆𝖛𝖊𝖑🦋 𝕸𝖞 𝖜𝖔𝖗𝖐🥋,97,97,606,https://www.threads.com/@_dry_.santos_?xmt=AQF0VgdH4Ep_Zn4uffWlXHH_EyBUvvZyos4eI5stV_bltqA,False,Pública
millenafalcon,millenafalcon,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,4,millenafalcon 10 10 3.126 3.126 972 972 🦈 vsco.co/millenafalcon,10,10,3126,,False,Pública
rogerioromarioedf,rogerioromarioedf,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,6,rogerioromarioedf 523 523 3.909 3.909 1.719 1.719 Rogério Romário 🥋 Coach ... mais mais Coréia do Sul França Portugal Por aí... Taekwondo Treinos 💪🏾 Bocha Escolas Coréia do Sul França Portugal Por aí... Taekwondo Treinos 💪🏾 Bocha Escolas,523,523,3909,https://www.threads.com/@rogerioromarioedf?xmt=AQF0pwszPrHk80CL8nKTX8HFfWXUBP-JH9dZ76n8W2mv45Y,False,Pública
00_.luci._,00_.luci._,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,00_.luci._ 8 8 914 914 914 ༆✯ᒪᑌᑕI✯༆ Atleta TKD🏅 .. ⛅ 💕 RJ❤️ 💃 TKD🏅 .. ⛅ 💕 RJ❤️ 💃,8,8,914,,False,Pública
rafaela.meirelles.da.costa,rafaela.meirelles.da.costa,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,4,rafaela.meirelles.da.costa 10 10 1.013 1.013 1.455 1.455 Rafaela Meirelles da Costa Atleta Taekwondo National Team 🇧🇷 3X Pan American Champ 🥇 Rafaela Meirelles da Costa Atleta Taekwondo National Team 🇧🇷 3X Pan American Champ 🥇,10,10,1013,,False,Pública
santz.dx,santz.dx,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,santz.dx 0 0 118 118 362 362 ﾠ,0,0,118,https://www.threads.com/@santz.dx?xmt=AQF08-Ewr71bVibxJ7PzhC3pddbY9MHFnzlbEZ94lU57qqQ,False,Pública
