username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,bio,n_publicacoes,n_seguidores,n_seguindo,link_externo,verificado,status_conta,foto_perfil,categoria,nome_completo,conta_comercial,destaque_stories,posts_recentes,engajamento_medio
draannaclaudia,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,18,"draannaclaudia 118 118 1.295 1.295 788 788 Anna Claudia Mello 🏡Confresa - MT 🏨Goiânia - GO 🩺De Arq para Dra 11/12 ""Deus, ao mar, o perigo e o abismo deu, mas nele é... mais Anna Claudia Mello 🏡Confresa - MT 🏨Goiânia - GO 🩺De Arq para Dra 11/12 ""Deus, ao mar, o perigo e o abismo deu, mas nele é... mais 🏡Confresa - MT 🏨Goiânia - GO 🩺De Arq para Dra 11/12 ""Deus, ao mar, o perigo e o abismo deu, mas nele é ... mais mais",118,118,1295,,False,Pública,0,,,False,0,0,0
naimouraas,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,1,naimouraas 18 18 1.409 1.409 4.343 4.343 Naiara Moura 👩‍👦‍👦Mamãe ✝️Cristã ❤️@jhonatansampaio2 Naiara Moura 👩‍👦‍👦Mamãe ✝️Cristã ❤️@jhonatansampaio2 Céu do MT Céu do Goiás Céu do MT Céu do Goiás,18,18,1409,,False,Pública,0,,,False,0,0,0
daiseassis,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,26,daiseassis 232 232 1.192 1.192 2.006 2.006 Daise Assis,232,232,1192,,False,Pública,0,,,False,0,0,0
lcamposlima,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,86,lcamposlima 242 242 1.188 1.188 3.220 3.220 Laura Campos 🔥⚡️ Laura Campos 🔥⚡️ Meu niver! Filhas Ferias em Cadas Fé Gio1 Destaques Destaques Destaques Destaques Meu niver! Filhas Ferias em Cadas Fé Gio1 Destaques,242,242,1188,,False,Pública,0,,,False,0,0,0
adrianamypy,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,1,adrianamypy 32 32 892 892 677 677 Adriana Mypy,32,32,892,,False,Pública,0,,,False,0,0,0
dra.danilaassis,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,132,dra.danilaassis 185 185 2.920 2.920 2.765 2.765 Dra. Danila Assis | Ultrassonografista Médico(a) 🌹Saúde feminina com confiança e acolhimento 👩‍⚕️Pós graduada em ginecologia e obstetrícia na área de ultrassonografia linktr.ee/clinicavida_ e mais 1 Filhos❤️ Destaques Familia❤️ Depoimentos Saúde Viagens! Destaques Melhores do ano Estudos Importante Melhores do ano Destaques Destaques Filhos lindos❤️ Filhos❤️ Destaques Familia❤️ Depoimentos Saúde Viagens! Melhores do ano Estudos Importante Filhos lindos❤️,185,185,2920,https://www.threads.com/@dra.danilaassis?xmt=AQF0Nfo0daQsemveRC73iYdRO09_54zJjgD70jF3VrQHTkg,False,Pública,0,,,False,0,0,0
val6_687,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,3,val6_687 0 0 86 86 140 140 Val😘😘😘,0,0,86,,False,Pública,0,,,False,0,0,0
hm.inteligencia_imobiliaria,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,16,contate.me/hminteligenciaimobiliaria hm.inteligencia_imobiliaria 13 13 56 56 11 11 HM FINANCIAMENTO IMOBILIÁRIO 🏠 📍Dicas em financiamento • Confresa-MT • Alavancagem usando financiamento • Comprar ou construir❓ ⚠️ Em breve estaremos ... mais 📍Dicas em financiamento • Confresa-MT • Alavancagem usando financiamento • Comprar ou construir❓ ⚠️ Em breve estaremos ... mais mais,13,13,56,,False,Pública,0,,,False,0,0,0
eujoaomachado,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,3,"eujoaomachado 88 88 1.363 1.363 90 90 João Machado | Rotina Produtiva 🏃‍♂️ Compartilhando a jornada real de fé, família e rotina ✝️ Encontrando força e propósito em Deus para os desafios... mais 🏃‍♂️ Compartilhando a jornada real de fé, família e rotina ✝️ Encontrando força e propósito em Deus para os desafios ... mais mais",88,88,1363,https://www.threads.com/@eujoaomachado?xmt=AQF0SnT2r1HVoRR24ha818To1-D1HLrLMoKE-xzixT6T7MQ,False,Pública,0,,,False,0,0,0
jennifersmarinho,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,9,jennifersmarinho 122 122 907 907 1.519 1.519 Jennifer Marinho | Marketing Médico ... mais mais IKOSbrand 🦁 // IKOSbrand 🦁 //,122,122,907,,False,Pública,0,,,False,0,0,0
clinicavidacfs,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,25,"clinicavidacfs 368 368 5.705 5.705 3.535 3.535 Clínica Vida | Confresa - MT Centro médico Diversas especialidades, um só propósito: cuidar de você ✨ 📍Confresa - MT. Diretora Médica Dra. Danila Assis. CRM: 6971 ... mais linktr.ee/clinicavida_ e mais 1 Clínica Vida | Confresa - MT Centro médico Diversas especialidades, um só propósito: cuidar de você ✨ 📍Confresa - MT. Diretora Médica Dra. Danila Assis. CRM: 6971 ... mais Diversas especialidades, um só propósito: cuidar de você ✨ 📍Confresa - MT. Diretora Médica Dra. Danila Assis. CRM: 6971 ... mais mais linktr.ee/clinicavida_ e mais 1 Saúde Informativos Informativo Clinica Vida Ressonancia Mag Vacinas Tomografia Raio x digital Exames Ultrassonografia Terapia Capilar Saúde Informativos Informativo Clinica Vida Ressonancia Mag Vacinas Tomografia Raio x digital Exames Ultrassonografia Terapia Capilar",368,368,5705,,False,Pública,0,,,False,0,0,0
kmledmidia,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,33,,17,17,481,,False,Erro inesperado,0,,,False,0,0,0
theograssel,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,14,,2,2,635,,False,Erro inesperado,0,,,False,0,0,0
crivomarketing,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,4,"bio.site/crivomarketing crivomarketing 12 12 6.697 6.697 1.236 1.236 Crivo | Marketing Médico Sua autoridade médica, refletida em uma marca forte. Branding | Identidade Visual | Planejamento Digital & Offline ⬇️... mais Sua autoridade médica, refletida em uma marca forte. Branding | Identidade Visual | Planejamento Digital & Offline ⬇️ ... mais mais Bastidores Evento KV Na Mídia Evento GM Bastidores Evento KV Na Mídia Evento GM",12,12,6697,,False,Pública,0,,,False,0,0,0
geraldo.aguiar.98,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,6,geraldo.aguiar.98 0 0 429 429 346 346 Geraldo Aguiar Destaques,0,0,429,,False,Pública,0,,,False,0,0,0
_pedrobusin,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,18,_pedrobusin 44 44 2.239 2.239 1.793 1.793 Pedro,44,44,2239,,False,Pública,0,,,False,0,0,0
jeybatista.cilios,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,6,www.canva.com/design/DAGFYzEmYXI/zKYAk8j4vPWMbfjksCvh2A/view?utm_content=DAGFYzEmYXI&utm_campaign=designshare&utm_medium=link&utm_source=editor jeybatista.cilios 233 233 1.100 1.100 496 496 Cílios/Sobrancelha | Formosa-Go | Especialista em extensão de cílios | Designer de sobrancelha | Entrego naturalidade em forma de cílios Para... mais | Especialista em extensão de cílios | Designer de sobrancelha | Entrego naturalidade em forma de cílios Para ... mais mais Cílios Sobrancelhas FeedBack Regras Looks Lip Collor Pacote Mensal Dicas Familia Estudos Curso Cílios Sobrancelhas FeedBack Regras Looks Lip Collor Pacote Mensal Dicas Familia Estudos Curso,233,233,1100,,False,Pública,0,,,False,0,0,0
ana_caroline_gomes_moreira,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,30,ana_caroline_gomes_moreira 292 292 849 849 967 967 Ana Caroline G. Moreira Fisioterapeuta família Fisioterapia ventosaterapia doTERRA Tape Destaques família Fisioterapia ventosaterapia doTERRA Tape Destaques,292,292,849,,False,Pública,0,,,False,0,0,0
cleidecfs2020,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,4,"cleidecfs2020 5 5 545 545 1.325 1.325 Cleide Cardoso Católica Apostólica Romana 📿 ""A palavra de Deus é viva, eficaz e mais penetrante do que qualquer espada de dois gumes.""",5,5,545,https://www.threads.com/@cleidecfs2020?xmt=AQF0AVplJq658Q3zXKqtQnkNaISn-aMSAXJeRSTs2isfSO0,False,Pública,0,,,False,0,0,0
larrozak_,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,2,larrozak_ 3 3 11 11 11 :),3,3,11,,False,Pública,0,,,False,0,0,0
pointdosaborcfs,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,2,"pointdosaborcfs 857 857 7.229 7.229 1.795 1.795 POINT DO SABOR Padaria ☕️Pães,salgados,doces, quitandas! ⏰Segunda a Sexta:06 às 19:30h ⏰Sábado:06 ás 13h 🏠Quiosque Machadão:08 às21 Domingo 08 ... mais ☕️Pães,salgados,doces, quitandas! ⏰Segunda a Sexta:06 às 19:30h ⏰Sábado:06 ás 13h 🏠Quiosque Machadão:08 às21 Domingo 08 ... mais mais sandwiche.me/pointdosaborcfs Team/Equipe😊 Love Coffee🤎✨☕️ Hambúrguer🤎✨ Delícias😋 Clientes/Loves😊 Natal🎄✨ Team/Equipe😊 Love Coffee🤎✨☕️ Hambúrguer🤎✨ Delícias😋 Clientes/Loves😊 Natal🎄✨",857,857,7229,,False,Pública,0,,,False,0,0,0
clinicavitanx,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,11,linktr.ee/clinicavitanx clinicavitanx 728 728 2.665 2.665 950 950 Clínica Vita | Nova Xavantina ✨️ Clínica de saúde humanizada em Nova Xavantina 📱(66) 3438-1073 ou 98434-0044 👇🏻 Marque sua consulta Equipe,728,728,2665,,False,Pública,0,,,False,0,0,0
karlodovalle,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,1,"karlodovalle 40 40 1.173 1.173 7.514 7.514 Karlodovalle, Physiotherapist 🇧🇷 Sports practitioner",40,40,1173,https://www.threads.com/@karlodovalle?xmt=AQF0nIw7Gs1BsvDtIsKsW4v1RQCevdc7ee2fdM9z5z74pmg,False,Pública,0,,,False,0,0,0
luceliamiranda2015,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,2,luceliamiranda2015 11 11 642 642 794 794 Lucelia Santos,11,11,642,,False,Pública,0,,,False,0,0,0
joseane_1azevedo,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,5,joseane_1azevedo 2 2 639 639 1.771 1.771 joseane Santos Azevedo Técnica em enfermagem Evangélica Casada,2,2,639,https://www.threads.com/@joseane_1azevedo?xmt=AQF0uTiikuWRPEXXLT7im92ynVmkZf_OvWvwN6EiLyyKUFU,False,Pública,0,,,False,0,0,0
tha__clark,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,3,tha__clark 55 55 962 962 1.054 1.054 Thais Nunes,55,55,962,,False,Pública,0,,,False,0,0,0
nalandamedina,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,10,nalandamedina 9 9 1.418 1.418 1.043 1.043 Nalanda Medina | Maquiadora em Confresa Maquiador(a) 💄💋,9,9,1418,https://www.threads.com/@nalandamedina?xmt=AQF0zW638MXWlOrb3INijG6u269zo2Skm2ijHg2lDuTxx0Q,False,Pública,0,,,False,0,0,0
atendimentobcr,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,26,atendimentobcr 3 3 35 35 47 47 Atendimento BCR Este perfil é para o setor de atendimento conferir os perfis de todos nossos clientes Atendimento BCR Este perfil é para o setor de atendimento conferir os perfis de todos nossos clientes,3,3,35,,False,Pública,0,,,False,0,0,0
fernandafonsseca,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,9,fernandafonsseca 153 153 1.633 1.633 3.151 3.151 Fernanda Fonseca Administradora 📊Especialista em Pequenos Negócios 🚀Ajudando empresa a crescer com eficiência. Fernanda Fonseca Administradora 📊Especialista em Pequenos Negócios 🚀Ajudando empresa a crescer com eficiência. Trabalho Fê Trabalho Fê,153,153,1633,,False,Pública,0,,,False,0,0,0
dilma6194,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,2,dilma6194 21 21 448 448 698 698 Dilma Pires Ser simplesmente vc mesma Destaques amores 😍 😍 Destaques Destaques amores 😍,21,21,448,https://www.threads.com/@dilma6194?xmt=AQF0yAY490waporXnr_a0k2CXccmCI1KY9Tn_iZivDj2-hI,False,Pública,0,,,False,0,0,0
edilenenunesdossantoscosta,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,2,edilenenunesdossantoscosta 48 48 181 181 91 91 Edilene Nunes Estou amando minha nova versão... 4.1 com orgulho,48,48,181,https://www.threads.com/@edilenenunesdossantoscosta?xmt=AQF09ICNbyYwhP_VEjvyz-jc8nLBgyjd1PGd4WsxF-ixyAQ,False,Pública,0,,,False,0,0,0
divina_barros,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,1,,68,68,1230,,False,Erro inesperado,0,,,False,0,0,0
dra.daiseassis,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,18,,58,58,1123,,False,Erro inesperado,0,,,False,0,0,0
suizasabino,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,3,suizasabino 7 7 145 145 247 247 Suiza Sabino,7,7,145,,False,Pública,0,,,False,0,0,0
ccdraannaleticiamello,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,58,youtube.com/@annaleticiamello7406?si=_rwZWz70JyvQtHBs ccdraannaleticiamello 63 63 1.560 1.560 3.194 3.194 Centro de Cardiologia Dra Anna Leticia Produto/serviço Dra Anna Leticia Mello - Cardiologista CRM MT: 7406 RQE: 6782 Atendimento Clínica Vida: 3564 1420 WhatsApp: 066... mais Dra Anna Leticia Mello - Cardiologista CRM MT: 7406 RQE: 6782 Atendimento Clínica Vida: 3564 1420 WhatsApp: 066 ... mais mais,63,63,1560,,False,Pública,0,,,False,0,0,0
imunnizavacinasmt,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,57,,821,821,2729,,False,Erro inesperado,0,,,False,0,0,0
malonfernandes,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,2,malonfernandes 361 361 3.227 3.227 668 668 Malon Fernandes Corrida Meu trabalho no treino Rio 🖖🏼 crossfit Essepê Touros SãoPaulo RioDeJaneiro Goiânia JoãoPessoa Recife Natal Corrida Meu trabalho no treino Rio 🖖🏼 crossfit Essepê Touros SãoPaulo RioDeJaneiro Goiânia JoãoPessoa Recife Natal,361,361,3227,https://www.threads.com/@malonfernandes?xmt=AQF0Ct-OAbBYVJJPewBmG6KpNpa4m7RHHSAyy4CS-pVqwog,False,Pública,0,,,False,0,0,0
fabiojrsd,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,22,fabiojrsd 45 45 1.659 1.659 5.281 5.281 Dr. Fabio Junior ☢️ 𝐁𝐢𝐨𝐦é𝐝𝐢𝐜𝐨 𝐢𝐦𝐚𝐠𝐢𝐧𝐨𝐥𝐨𝐠𝐢𝐬𝐭𝐚 ☢️ Radioterapia 🔴Flamenguista⚫️ 🏋️ Musculação 👧🏼 𝐏𝐚𝐢 𝐝𝐚 𝐆𝐢𝐨𝐯𝐚𝐧𝐚 Dr. Fabio Junior ☢️ 𝐁𝐢𝐨𝐦é𝐝𝐢𝐜𝐨 𝐢𝐦𝐚𝐠𝐢𝐧𝐨𝐥𝐨𝐠𝐢𝐬𝐭𝐚 ☢️ Radioterapia 🔴Flamenguista⚫️ 🏋️ Musculação 👧🏼 𝐏𝐚𝐢 𝐝𝐚 𝐆𝐢𝐨𝐯𝐚𝐧𝐚,45,45,1659,,False,Pública,0,,,False,0,0,0
fabioalopes,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,24,fabioalopes 174 174 2.593 2.593 73 73 Fábio Lopes,174,174,2593,,False,Pública,0,,,False,0,0,0
maiconcesar9203,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,26,maiconcesar9203 28 28 923 923 1.557 1.557 Maicon Cesar jw.org,28,28,923,,False,Pública,0,,,False,0,0,0
redebemdrogariascfs,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,1,"redebemdrogariascfs 135 135 1.068 1.068 657 657 Rede Bem Drogarias Confresa 💊 Promoções todos os dias 🛵 Fazemos entrega 📍 Av. Brasil, 533 - Jardim Vitória / Confresa-MT 📲 Peça pelo WhatsApp 👇 chat.whatsapp.com/Kjzf3hBcvaD3FmYYu6NM7G e mais 1 Feedback ❤️ Dicas da Lari Disk Entrega Feedback ❤️ Dicas da Lari Disk Entrega",135,135,1068,https://www.threads.com/@redebemdrogariascfs?xmt=AQF0c4NFbrIqvoGeEwxuE2kkKu7ylIfkm2MQHpb2eH9QZo8,False,Pública,0,,,False,0,0,0
rosangelacosta.adv,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,1,rosangelacosta.adv 150 150 1.080 1.080 1.025 1.025 Rosângela Costa,150,150,1080,https://www.threads.com/@rosangelacosta.adv?xmt=AQF0nehBMcrxHm4qCNqfNU-58EeZPZyiTtCzLBaSYz1F4Hc,False,Pública,0,,,False,0,0,0
valemarketing360,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,5,valemarketing360 1.995 1.995 5.552 5.552 215 215 VALE 360 | MARKETING DIGITAL 🚀 Amplas soluções de Marketing. 🌎 Do Vale do Araguaia para o Mundo. ⬇️ Converse com a gente: clique-aqui.net/vale-marketing-360,1995,1995,5552,,False,Pública,0,,,False,0,0,0
suellemturibio,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,5,"suellemturibio 2 2 53 53 2.289 2.289 Suellem Turíbio MT🏡/TO❤ 🍃Se os teus olhos forem bons, todo o teu corpo será luz... Mateus 6:22-23🍂 Amante da fauna e da... mais Suellem Turíbio MT🏡/TO❤ 🍃Se os teus olhos forem bons, todo o teu corpo será luz... Mateus 6:22-23🍂 Amante da fauna e da... mais MT🏡/TO❤ 🍃Se os teus olhos forem bons, todo o teu corpo será luz... Mateus 6:22-23🍂 Amante da fauna e da ... mais mais",2,2,53,,False,Pública,0,,,False,0,0,0
greenmedicalservice,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,3,greenmedicalservice 6 6 105 105 120 120 Green Medical Service 👷🏻 M.R.I Especialist 👨🏻‍🔧 Manutenção Preventiva e Corretiva 👨🏻‍🔬 Engenharia Clínica 📍 Sumaré www.greenmedicalservice.com.br e mais 1 Green Medical Service 👷🏻 M.R.I Especialist 👨🏻‍🔧 Manutenção Preventiva e Corretiva 👨🏻‍🔬 Engenharia Clínica 📍 Sumaré www.greenmedicalservice.com.br e mais 1,6,6,105,,False,Pública,0,,,False,0,0,0
marliptavares_,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,2,marliptavares_ 151 151 331 331 624 624 Marli Mendonça 🙌 Marli Mendonça 🙌,151,151,331,,False,Pública,0,,,False,0,0,0
mariaherlaine,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,3,mariaherlaine 2.639 2.639 1.961 1.961 4.465 4.465 Maria Herlaine Cangussu de Lima,2639,2639,1961,,False,Pública,0,,,False,0,0,0
marciapaulam,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,2,marciapaulam 77 77 596 596 1.069 1.069 Márcia Paula,77,77,596,,False,Pública,0,,,False,0,0,0
bigmoveismt,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,1,bigmoveismt 4 4 85 85 49 49 Marcio Nascimento,4,4,85,https://www.threads.com/@bigmoveismt?xmt=AQF0Wj0D1XTlx8gfD73El7D7qF7iUC9T5Z7myXZFPnlNYaQ,False,Pública,0,,,False,0,0,0
aurilene.almeida.148,,False,Seguir,0,clinicavidacfs.csv,2025-08-02,29,"aurilene.almeida.148 1 1 318 318 362 362 Aurilene Almeida Confresa, MT Gabriel Mendes, Theila, Tânia❤ Aurilene Almeida Confresa, MT Gabriel Mendes, Theila, Tânia❤",1,1,318,,False,Pública,0,,,False,0,0,0
