username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,bio,n_publicacoes,n_seguidores,n_seguindo,link_externo,verificado,status_conta
enzo_schmitt,enzo_schmitt,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,enzo_schmitt 591 591 1.041 1.041 1.158 1.158 𝑬𝒏𝒛𝒐 𝑺𝒄𝒉𝒎𝒊𝒕𝒕 sub 12⚽️ 🥋🤼 𝑬𝒏𝒛𝒐 𝑺𝒄𝒉𝒎𝒊𝒕𝒕 sub 12⚽️ 🥋🤼,591,591,1041,,False,Pública
grao_mestre.alex.machado,grao_mestre.alex.machado,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,6,grao_mestre.alex.machado 33 33 3.955 3.955 103 103 Alex Machado 👨🏻‍💼Gestor Comercial 🥋Grão Mestre: 7ºDAN- TKD 🥋Mestre: 5ºDAN- HKD WT/CBTKD/ FGTKD🇨🇺🇵🇾🇺🇾🇧🇷 🏍️🎣🦾 ❤️Catiu... mais 👨🏻‍💼Gestor Comercial 🥋Grão Mestre: 7ºDAN- TKD 🥋Mestre: 5ºDAN- HKD WT/CBTKD/ FGTKD🇨🇺🇵🇾🇺🇾🇧🇷 🏍️🎣🦾 ❤️Catiu ... mais mais,33,33,3955,https://www.facebook.com/profile.php?id=100000306047915&ref=_ig_profile_ac,False,Pública
nagai.ana,nagai.ana,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,5,nagai.ana 28 28 531 531 327 327 Akemi ♡ In this world... 🥋🇧🇷 Akemi ♡ In this world... 🥋🇧🇷 Eu & ele ❤️ 🥋 por aí Etec-3 Família UK 🇬🇧 - 2 Etec - 2 UK 🇬🇧 RJ Eu & ele ❤️ 🥋 por aí Etec-3 Família UK 🇬🇧 - 2 Etec - 2 UK 🇬🇧 RJ,28,28,531,,False,Pública
profjohnatansoares,profjohnatansoares,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,7,profjohnatansoares 56 56 283 283 484 484 Johnatan de Oliveira Soares Professor; Químico licenciado; Mestre em química; Doutorando em química; ... mais Johnatan de Oliveira Soares Professor; Químico licenciado; Mestre em química; Doutorando em química; ... mais Professor; Químico licenciado; Mestre em química; Doutorando em química; ... mais mais Experimentos óxidos Animais por aí. Magnéticos 🧲 Aulas cursos Experimentos óxidos Animais por aí. Magnéticos 🧲 Aulas cursos,56,56,283,,False,Pública
zaninello_tkd,zaninello_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,10,zaninello_tkd 101 101 1.280 1.280 1.191 1.191 Sabryna ... mais mais 👆🏻👀 📍CAC25 📍IGU25 ✝️ 🤍 📍SC25 📍UK23/24 📍RJ25 📍RJ24 📍BA24 👆🏻👀 📍CAC25 📍IGU25 ✝️ 🤍 📍SC25 📍UK23/24 📍RJ25 📍RJ24 📍BA24,101,101,1280,https://www.threads.com/@zaninello_tkd?xmt=AQF0xdTmNvdPb94BDF8dxdQ4x04mCvqRyr8wB3xVLfmZ6x0,False,Pública
_victor.zsx,_victor.zsx,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,5,_victor.zsx 3 3 305 305 149 149 Kaua Victor Atleta 🌥️ 🌪️ K 🌥️ 🌪️ K,3,3,305,,False,Pública
nelsontoshiyukimiyamoto,nelsontoshiyukimiyamoto,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,9,nelsontoshiyukimiyamoto 15 15 817 817 800 800 Nelson Miyamoto Destaques,15,15,817,https://www.threads.com/@nelsontoshiyukimiyamoto?xmt=AQF0YnEAqC8UOHYzr5zk-evVB5B0kTqgUzSx1OLzKmnyPN4,False,Pública
_linck02,_linck02,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,21,_linck02 3 3 304 304 354 354 ea line dnv 🌪 🇧🇷+🇪🇸 RS📍-cachoririnha 🥋 ea line dnv 🌪 🇧🇷+🇪🇸 RS📍-cachoririnha 🥋,3,3,304,,False,Pública
isaias.tkd_,isaias.tkd_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,5,isaias.tkd_ 12 12 1.430 1.430 1.561 1.561 liminha___ Atleta ... mais mais Seguido(a) por esc.raiodesol esc.raiodesol . 1.2.3 . 1.2.3,12,12,1430,https://www.threads.com/@isaias.tkd_?xmt=AQF0M-HX7Mrs9jit9SRshO1CYSeuE0ciwBacGLhPXidRx50,False,Pública
carterlam1515,carterlam1515,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,carterlam1515 14 14 204 204 154 154 Carter Training Tournaments 2025 US Open Basketball Tkd Sparring Training Tournaments 2025 US Open Basketball Tkd Sparring,14,14,204,,False,Pública
clarawlz__,clarawlz__,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,clarawlz__ 0 0 242 242 1.040 1.040 maria clara ☀︎ . . . .,0,0,242,https://www.threads.com/@clarawlz__?xmt=AQF0QaWC8lq2JQENrA4mPvo5z3pNOTqB_vTHulB0ihx406k,False,Pública
renata.tamie,renata.tamie,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,"renata.tamie 10 10 1.540 1.540 1.545 1.545 Renata 🖤☀️ Eis que faço novas todas as coisas. E disse-me: Escreve, porque estas palavras são verdadeiras e fieis. Rodrigo 🖤",10,10,1540,https://www.threads.com/@renata.tamie?xmt=AQF0JPs7cTBr9j_QuCWqWFtUAFHPUslJWE1Y3Lybu8XP37g,False,Pública
kmeurentkd,kmeurentkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,17,kmeurentkd 31 31 1.500 1.500 549 549 Kátila Meuren Atleta 🥋 🇧🇷 🥋 🇧🇷,31,31,1500,,False,Pública
dimitrius_92,dimitrius_92,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,18,dimitrius_92 105 105 648 648 1.295 1.295 Dimitrius Zoehler Ferreira Atleta,105,105,648,,False,Pública
giovannasantosra2018,giovannasantosra2018,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,5,giovannasantosra2018 21 21 443 443 460 460 giovanna,21,21,443,,False,Pública
qg.aanac_,qg.aanac_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,5,qg.aanac_ 0 0 37 37 38 38 𝒄𝒍𝒂𝒓𝒊𝒏𝒉𝒂🤍,0,0,37,,False,Pública
eduarda.tkd_,eduarda.tkd_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,eduarda.tkd_ 4 4 118 118 75 75 Maria Eduarda Atleta,4,4,118,,False,Pública
_kyaramoreira,_kyaramoreira,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,6,_kyaramoreira 1 1 209 209 209 Atleta 🥋🏸 Atleta 🥋🏸,1,1,209,,False,Pública
sampaio_team,sampaio_team,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,8,sampaio_team 86 86 692 692 370 370 Sampaio Team Martial Arts Escola de artes marciais ... mais mais Taekwondo Kickboxing Taekwondo Kickboxing,86,86,692,,False,Pública
luzareco_13,luzareco_13,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,5,luzareco_13 15 15 735 735 486 486 ✨ Deportista🥋,15,15,735,https://www.threads.com/@luzareco_13?xmt=AQF0jlng3SW5-uPd5W6mOy1x3qMhAg8G231DhZPU3yM_Suw,False,Pública
tjmoveis_,tjmoveis_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,"tjmoveis_ 771 771 6.236 6.236 752 752 Móveis com madeira de Demolição Produto/serviço A empresa TJ MÓVEIS atua desde 2011 na fabricação de móveis em madeira de demolição, realizando seus projetos... mais SMPW QD 14 CONJ 02 BOX 02 PARK WAY- BRASILIA-DF, Brasília, Brazil 71741400 Móveis com madeira de Demolição Produto/serviço A empresa TJ MÓVEIS atua desde 2011 na fabricação de móveis em madeira de demolição, realizando seus projetos... mais A empresa TJ MÓVEIS atua desde 2011 na fabricação de móveis em madeira de demolição, realizando seus projetos ... mais mais Banco Buffet Cristaleira Moldura Banco Buffet Cristaleira Moldura",771,771,6236,,False,Pública
shimurazzz,shimurazzz,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,20,shimurazzz 3 3 536 536 600 600 shimura𓋹,3,3,536,,False,Pública
tkd_marcus,tkd_marcus,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,tkd_marcus 13 13 517 517 348 348 Marcus-_-🌟 Coaching 2025 🌎 2025 Pan Am 2025 US Open 2025 Can open 2025 Nats Training Highlights Team Canada 🇨🇦 2024 Nationals Ontario Cup 🏀 House League 🇨🇦 Open 2024 Carter Coaching 2025 🌎 2025 Pan Am 2025 US Open 2025 Can open 2025 Nats Training Highlights Team Canada 🇨🇦 2024 Nationals Ontario Cup 🏀 House League 🇨🇦 Open 2024 Carter,13,13,517,https://www.threads.com/@tkd_marcus?xmt=AQF04sCnzdo8psXrlUrBCyCI9lOB0RnBObqSlrOmYi8yo6s,False,Pública
ceciliamaria_tkd,ceciliamaria_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,6,ceciliamaria_tkd 6 6 1.773 1.773 2.298 2.298 Maria Cecilia tkd 🚀 me tkd 🚀 me,6,6,1773,https://www.threads.com/@ceciliamaria_tkd?xmt=AQF0xauOQgNJBacvyhLBGCIFcgt013cb0CpAPGJghSbptgg,False,Pública
_.julia.oliveira.__,_.julia.oliveira.__,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,7,_.julia.oliveira.__ 8 8 425 425 392 392 julia vitória . . . .,8,8,425,,False,Pública
_amanda.tkd,_amanda.tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,7,_amanda.tkd 8 8 320 320 228 228 Amanda Martins Atleta 🌪️🥋taekwondo Êxodo 33:14 🥇.🥈.🥉,8,8,320,https://www.threads.com/@_amanda.tkd?xmt=AQF0F2KdxNEvf4JTuhKmjiOj30vbDdjwyldfFt86p1nf7l8,False,Pública
normabger,normabger,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,normabger 1 1 155 155 211 211 Norma Burger,1,1,155,,False,Pública
_masoares_tkd,_masoares_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,5,_masoares_tkd 5 5 289 289 305 305 Manuela Soares •Jeremias 29:11 •048 |sc •🥋 🗺🧭 🥋 Me 🌊 brap🏁 🗺🧭 🥋 Me 🌊 brap🏁,5,5,289,https://www.threads.com/@_masoares_tkd?xmt=AQF0wssLmpizBS-pC2jcgmLl-RFJSqd2cFmbemRsIolEQow,False,Pública
taizmontalvao2,taizmontalvao2,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,taizmontalvao2 62 62 1.468 1.468 1.064 1.064 Taiz Montalvão Blogueiro(a),62,62,1468,,False,Pública
spartajotap,spartajotap,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,spartajotap 521 521 2.480 2.480 967 967 João Paulo Caus Esportes Cristão | Marido | Atleta | Líder -Permanece no propósito independente das circunstâncias... MENTALIDADE SPARTA 👊🏻⚡... mais Cristão | Marido | Atleta | Líder -Permanece no propósito independente das circunstâncias... MENTALIDADE SPARTA 👊🏻⚡ ... mais mais EU E ELA ❤️ WARRIOR ⚓ 📚 GYM CROSSFIT II BJJ TAEKWONDO PERSONAL FIGHT🥊🥋 CROSSFIT EU E ELA ❤️ WARRIOR ⚓ 📚 GYM CROSSFIT II BJJ TAEKWONDO PERSONAL FIGHT🥊🥋 CROSSFIT,521,521,2480,https://www.threads.com/@spartajotap?xmt=AQF0c1rKrdhFdC7hlSxyDxGHBIY98S0EGT4xlkZw79E3XL8,False,Pública
teamtaekwondoescola,teamtaekwondoescola,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,tkdescola.com.br teamtaekwondoescola 741 741 4.877 4.877 2.928 2.928 Team Taekwondo Escola 🥋Projeto Social Team Taekwondo Escola 🤝Filiação: CBTKD • WT • AAT 👤Técnico: Fábio Lourenço ⏰Funcionamento: Seg á Sex... mais 🥋Projeto Social Team Taekwondo Escola 🤝Filiação: CBTKD • WT • AAT 👤Técnico: Fábio Lourenço ⏰Funcionamento: Seg á Sex ... mais mais Treinamento 🅁🄴🅂🅄🄻🅃🄰🄳🄾🅂 🆃🆁🅴🅸🅽🅾🆂 🄲🄾🄼🄿🄴🅃🄸🄲🄾🄴🅂 🅳🅴🆂🆃🅸🅽🅾🆂 Treinamento 🅁🄴🅂🅄🄻🅃🄰🄳🄾🅂 🆃🆁🅴🅸🅽🅾🆂 🄲🄾🄼🄿🄴🅃🄸🄲🄾🄴🅂 🅳🅴🆂🆃🅸🅽🅾🆂,741,741,4877,,False,Pública
ajtkd2004,ajtkd2004,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,14,"ajtkd2004 17 17 151 151 119 119 Associação Jaraguaense de Taekwondo Educação Taekwondo que educa, inclui e transforma vidas! Associação Jaraguaense de Taekwondo Educação Taekwondo que educa, inclui e transforma vidas!",17,17,151,,False,Pública
valdirenisilva_souza,valdirenisilva_souza,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,8,valdirenisilva_souza 46 46 2.230 2.230 3.045 3.045 Valdireni Silva de Souza,46,46,2230,,False,Pública
izah_emanuu_,izah_emanuu_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,4,izah_emanuu_ 33 33 1.164 1.164 994 994 luiza 🤍 Atleta • TKD • história de gigante n cabe no livro • êxodo 33:14 • she is ate... mais • TKD • história de gigante n cabe no livro • êxodo 33:14 • she is ate ... mais mais 2k25 me... TKD 25* luizas IGJ❤️‍🔥 2k24 🤍 TKD 24* humilhações academia' happy birthday15 L' moments' taekwondo' 2k25 me... TKD 25* luizas IGJ❤️‍🔥 2k24 🤍 TKD 24* humilhações academia' happy birthday15 L' moments' taekwondo',33,33,1164,https://www.threads.com/@izah_emanuu_?xmt=AQF0ES0lnYKGpI1lgjvDOQaH9pyREN1QXQ3eSvy7QNCo3L4,False,Pública
fabriciooli_tkd,fabriciooli_tkd,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,3,"fabriciooli_tkd 3 3 153 153 422 422 Fabrício Oliveira Fabrício de Oliveira Silva Aluno de Taekwondo🇰🇷🇧🇷 faixa Verde 6° GUB 💚 ""a meta é ser melhor que ontem, não melhor que ... mais Fabrício de Oliveira Silva Aluno de Taekwondo🇰🇷🇧🇷 faixa Verde 6° GUB 💚 ""a meta é ser melhor que ontem, não melhor que ... mais mais",3,3,153,https://www.threads.com/@fabriciooli_tkd?xmt=AQF0-r2uoH5UmxZcppQy6kO9cDLhGzrbLffZp46hY1BlDaI,False,Pública
_dry_.santos_,_dry_.santos_,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,7,_dry_.santos_ 97 97 606 606 612 612 Adrielly Tomita Bruneli Santos 𝕱𝖆𝖒𝖎𝖑𝖞🦋 🥋〽️❤️ 𝕮𝖔𝖒𝖕𝖊𝖙𝖎𝖙𝖎𝖔𝖓𝖘 25💖 𝖒𝖊🦋🌌🌻 birthdays 🥹 𝖙𝖗𝖆𝖛𝖊𝖑🦋 𝕸𝖞 𝖜𝖔𝖗𝖐🥋 𝕱𝖆𝖒𝖎𝖑𝖞🦋 🥋〽️❤️ 𝕮𝖔𝖒𝖕𝖊𝖙𝖎𝖙𝖎𝖔𝖓𝖘 25💖 𝖒𝖊🦋🌌🌻 birthdays 🥹 𝖙𝖗𝖆𝖛𝖊𝖑🦋 𝕸𝖞 𝖜𝖔𝖗𝖐🥋,97,97,606,https://www.threads.com/@_dry_.santos_?xmt=AQF0_bKgH366N4-ThF1Ztolf7Zb2DMuMFbzst7ckqN6pH9s,False,Pública
millenafalcon,millenafalcon,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,4,millenafalcon 10 10 3.127 3.127 972 972 🦈 vsco.co/millenafalcon,10,10,3127,,False,Pública
rogerioromarioedf,rogerioromarioedf,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,6,rogerioromarioedf 523 523 3.908 3.908 1.718 1.718 Rogério Romário 🥋 Coach ... mais mais Coréia do Sul França Portugal Por aí... Taekwondo Treinos 💪🏾 Bocha Escolas Coréia do Sul França Portugal Por aí... Taekwondo Treinos 💪🏾 Bocha Escolas,523,523,3908,https://www.threads.com/@rogerioromarioedf?xmt=AQF0YvWkG1NTnAup1gkmxSOX9hgDbwI5pyxSQ-y3LZr6YvI,False,Pública
00_.luci._,00_.luci._,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,00_.luci._ 8 8 916 916 915 915 ༆✯ᒪᑌᑕI✯༆ Atleta TKD🏅 .. ⛅ 💕 RJ❤️ 💃 TKD🏅 .. ⛅ 💕 RJ❤️ 💃,8,8,916,,False,Pública
rafaela.meirelles.da.costa,rafaela.meirelles.da.costa,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,4,rafaela.meirelles.da.costa 10 10 1.013 1.013 1.458 1.458 Rafaela Meirelles da Costa Atleta Taekwondo National Team 🇧🇷 3X Pan American Champ 🥇 Rafaela Meirelles da Costa Atleta Taekwondo National Team 🇧🇷 3X Pan American Champ 🥇,10,10,1013,,False,Pública
santz.dx,santz.dx,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,santz.dx 0 0 117 117 362 362 ﾠ,0,0,117,https://www.threads.com/@santz.dx?xmt=AQF0aer7Umkjlhfpy_tULRkfEZ2An3fWYxOAWJT1bqm-bJ4,False,Pública
