username,nome_completo,verificado,url_foto_perfil,status_relacao,bio,n_publicacoes,n_seguidores,n_seguindo,link_externo,verificado,status_conta,foto_perfil,categoria,nome_completo,conta_comercial,destaque_stories,posts_recentes,engajamento_medio
lucia_demendoncamonteiro,,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/513490247_17845934466510776_5120779877088001297_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QGS77jv_rso5w12wRgkBkWAso9HqpqE8LVo9BuJC6OX5VA7zn7WsnYZg9ITL3_KoBvUmf0rKGZkpHmC98Cf45hL&_nc_ohc=KhX31tVUaGAQ7kNvwEPFMVR&_nc_gid=BW1OcuUfZ0WqhkrYavKZxQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRWaUm4WMMWMbjCydMlgcvekxfjZ5J_ACXeIY83JaLsog&oe=68928D31&_nc_sid=6ff7c8,Seguir,lucia_demendoncamonteiro Lucia de mendonca monteiro 0 posts 0 102 102 151 151,0,0,0,https://www.threads.com/@lucia_demendoncamonteiro?xmt=AQF0upugdUnwpFc0olhVkBCXCfPVyjMyIbP6L6RQjh9NPVk,False,Pública,0,,,False,0,0,0
maristelabonavigo_,,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/323811827_209774831440128_1704054769886537509_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QGS77jv_rso5w12wRgkBkWAso9HqpqE8LVo9BuJC6OX5VA7zn7WsnYZg9ITL3_KoBvUmf0rKGZkpHmC98Cf45hL&_nc_ohc=3RwPbUoCLUIQ7kNvwEfUS-v&_nc_gid=BW1OcuUfZ0WqhkrYavKZxQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSHtW-WitNucbEJ4gHZ_Ys9IXXemXoauVRLu1ZNozRMlA&oe=6892882D&_nc_sid=6ff7c8,Seguir,"maristelabonavigo_ Maristela Bonavigo Delgado 126 posts 126 1.205 1.205 579 579 Cristã , casada , mãe , sou imagem e semelhança do Deus criador ♥️ Destaques",,,,,False,Pública,0,,,False,0,0,0
playarenacfs,,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/520506541_17842804833538909_5504928559801700443_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45OTYuYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QF7MwuUuvaG-dbtP_gIFZ95xMKauLclp0LeuNAGIWJLkFZcBU7yAamEWysNlRSHfjmLcXxApWQyl_xvGrWdPesx&_nc_ohc=QvoafH1_3K8Q7kNvwEr71Nw&_nc_gid=4zJzrX_DBmih7RJ9Vxzgcw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfR-z7R2z22fkq2XyAxM5SNm9t8Dtb6Xp7v_UZYV8FkqYg&oe=6892757D&_nc_sid=6ff7c8,Seguir,playarenacfs Play Arena - Confresa MT 4 posts 4 333 333 256 256 Esportes Quadras de areia prontas para o seu PLAY ☀️ 🎾 | Beach Tennis 🏐 | Vôlei de praia ⚽️ | Futvôlei Esportes Quadras de areia prontas para o seu PLAY ☀️ 🎾 | Beach Tennis 🏐 | Vôlei de praia ⚽️ | Futvôlei,0,0,0,,False,Pública,0,,,False,0,0,0
dejulia_maia,,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/472857155_446710538514006_2793699219613042958_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QF7MwuUuvaG-dbtP_gIFZ95xMKauLclp0LeuNAGIWJLkFZcBU7yAamEWysNlRSHfjmLcXxApWQyl_xvGrWdPesx&_nc_ohc=WD6YSWn-A5IQ7kNvwFZrHDZ&_nc_gid=4zJzrX_DBmih7RJ9Vxzgcw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfROYMoVkTghbrDEGN_MMBUA0e2e5OoVlpalbJt_iUCpOA&oe=68926D86&_nc_sid=6ff7c8,Seguir,dejulia_maia Julia Maia 9 posts 9 348 348 286 286 .,0,0,0,https://www.threads.com/@dejulia_maia?xmt=AQF0S8SvsrVSOeZzRhJXAwFWxI0466gIZN7lET-nClbCLj8,False,Pública,0,,,False,0,0,0
mausse.leia,,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/479509729_590336843999884_8579245047592818103_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45NjAuYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QF7MwuUuvaG-dbtP_gIFZ95xMKauLclp0LeuNAGIWJLkFZcBU7yAamEWysNlRSHfjmLcXxApWQyl_xvGrWdPesx&_nc_ohc=VRXol1PvMFkQ7kNvwH06R-E&_nc_gid=4zJzrX_DBmih7RJ9Vxzgcw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRpQAw4K9tAz2pUaPaLLXw1JeKLr9ieo5VKcav4n4Sk7Q&oe=68926B8C&_nc_sid=6ff7c8,Seguir,mausse.leia Leia Maùsse 0 posts 0 483 483 1.906 1.906,0,0,0,,False,Pública,0,,,False,0,0,0
buscabuscautilidades,,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/489119602_525177083728119_8538038145348292725_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby42NjMuYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QF7MwuUuvaG-dbtP_gIFZ95xMKauLclp0LeuNAGIWJLkFZcBU7yAamEWysNlRSHfjmLcXxApWQyl_xvGrWdPesx&_nc_ohc=J8EG8KwZJrYQ7kNvwEc81iG&_nc_gid=4zJzrX_DBmih7RJ9Vxzgcw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRxR5nil7qJKyem42QeLmh5e4pzpgTTkSrxXRuY5ystEA&oe=6892626A&_nc_sid=6ff7c8,Seguir,,0,0,0,,False,Erro de carregamento,0,,,False,0,0,0
fratelli_sfredo,,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/509746192_17845239510514345_7896899176053739302_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4zODguYzIifQ&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QF7MwuUuvaG-dbtP_gIFZ95xMKauLclp0LeuNAGIWJLkFZcBU7yAamEWysNlRSHfjmLcXxApWQyl_xvGrWdPesx&_nc_ohc=zKrpJ8-FlS4Q7kNvwFS1cLe&_nc_gid=4zJzrX_DBmih7RJ9Vxzgcw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQWDZLXIY3V0mGG6t8fyuOg1DbbEXfOQD4BtZPlWbUDUw&oe=68928405&_nc_sid=6ff7c8,Seguir,"wa.me/5566999443108 fratelli_sfredo Espaço Fratelli Sfredo | Salão de beleza| Estética 38 posts 38 997 997 469 469 Fratelli Sfredo | Estética ✨ Beleza com naturalidade 🌿 Cuidados capilares, corporais e faciais 📍Confresa-MT | Agende... mais Fratelli Sfredo | Estética ✨ Beleza com naturalidade 🌿 Cuidados capilares, corporais e faciais 📍Confresa-MT | Agende ... mais mais Clientes",0,0,0,,False,Pública,0,,,False,0,0,0
iamdudareis,,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/467403095_980713730484696_3259333171416312660_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QF7MwuUuvaG-dbtP_gIFZ95xMKauLclp0LeuNAGIWJLkFZcBU7yAamEWysNlRSHfjmLcXxApWQyl_xvGrWdPesx&_nc_ohc=FH5rwiprrZEQ7kNvwFaVLcQ&_nc_gid=4zJzrX_DBmih7RJ9Vxzgcw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSsyl9xOHq90P-XsJO1ND3PSUwcB89LNGQbCrtmsUcGag&oe=68925C29&_nc_sid=6ff7c8,Seguir,iamdudareis Eduarda Reis 35 posts 35 224 224 234 234 Registrando pedaços de momentos especiais hobbys e outras coisas 🤍,0,0,0,,False,Pública,0,,,False,0,0,0
carollimaimoveis,,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/524412594_17859013989460150_7470834077048585952_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QF7MwuUuvaG-dbtP_gIFZ95xMKauLclp0LeuNAGIWJLkFZcBU7yAamEWysNlRSHfjmLcXxApWQyl_xvGrWdPesx&_nc_ohc=bM8PbJqeY74Q7kNvwHfaJyF&_nc_gid=4zJzrX_DBmih7RJ9Vxzgcw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRavAkGYjs8EO1jqRdqptplWCnNG-CetJtUNyRcYitBOw&oe=689283DA&_nc_sid=6ff7c8,Seguir,carollimaimoveis Carol Lima 2 posts 2 305 305 623 623 Empresária | Corretora de imóveis 🏡 📍Confresa. CRECI -MT. 21.233 Buscando o seu imóvel ideal? Clique no... mais Empresária | Corretora de imóveis 🏡 📍Confresa. CRECI -MT. 21.233 Buscando o seu imóvel ideal? Clique no ... mais mais,0,0,0,https://www.threads.com/@carollimaimoveis?xmt=AQF0DTaKfiCkvc3ucqkrMlYlBLJeX7w574JtKQArT2LtFVg,False,Pública,0,,,False,0,0,0
_vihcampos01_,,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/520226926_17932388691061545_7626956668094106357_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QF7MwuUuvaG-dbtP_gIFZ95xMKauLclp0LeuNAGIWJLkFZcBU7yAamEWysNlRSHfjmLcXxApWQyl_xvGrWdPesx&_nc_ohc=r83Bs70vM-wQ7kNvwGQA4Yf&_nc_gid=4zJzrX_DBmih7RJ9Vxzgcw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfT4KZfJVRbVDyxwEg7fmLy1dGS0UjO-7fzkK8ybYV0LJw&oe=68928B3D&_nc_sid=6ff7c8,Seguir,,0,0,0,,False,Erro de carregamento,0,,,False,0,0,0
kr_cristina_,,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/514449849_17900110824230811_4927907202539244296_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QF7MwuUuvaG-dbtP_gIFZ95xMKauLclp0LeuNAGIWJLkFZcBU7yAamEWysNlRSHfjmLcXxApWQyl_xvGrWdPesx&_nc_ohc=AYtyhlEgDbMQ7kNvwHSar1L&_nc_gid=4zJzrX_DBmih7RJ9Vxzgcw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSYCWwUsb9MV8D5KXJbRxgnoFSK6GYlgzWzuL0eClm2nw&oe=68928375&_nc_sid=6ff7c8,Seguir,,0,0,0,,False,Erro inesperado,0,,,False,0,0,0
maria_eduarda_munhos,,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/446314058_1439926959972365_3647866664523789114_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QF7MwuUuvaG-dbtP_gIFZ95xMKauLclp0LeuNAGIWJLkFZcBU7yAamEWysNlRSHfjmLcXxApWQyl_xvGrWdPesx&_nc_ohc=L-2elGlGevEQ7kNvwEBP8rM&_nc_gid=4zJzrX_DBmih7RJ9Vxzgcw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRKH6cLhEKr-GAEB9KiIq4CMDLuY23I35iTxhdrUC3ODQ&oe=68927355&_nc_sid=6ff7c8,Seguir,maria_eduarda_munhos Maria Eduarda 3 posts 3 398 398 399 399,0,0,0,https://www.threads.com/@maria_eduarda_munhos?xmt=AQF0ycvYePfqK5I236LWJUYuhq8fYfTkAnhMsgij7ysJdGo,False,Pública,0,,,False,0,0,0
dralaylanacavalcante,,False,https://instagram.fpmw2-1.fna.fbcdn.net/v/t51.2885-19/504465500_17846295492498051_2541678993276130797_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fpmw2-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QF7MwuUuvaG-dbtP_gIFZ95xMKauLclp0LeuNAGIWJLkFZcBU7yAamEWysNlRSHfjmLcXxApWQyl_xvGrWdPesx&_nc_ohc=z_a4fT-GMqAQ7kNvwHQ9gUO&_nc_gid=4zJzrX_DBmih7RJ9Vxzgcw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfR5wpEsRGAEv1bbEAljvaUqBA8NTmtv7_Ngqbz0NWdf3A&oe=68926630&_nc_sid=6ff7c8,Seguir,,0,0,0,,False,Erro de carregamento,0,,,False,0,0,0
